# time_fs  P_UP  P_LP  P_GS  P_DS
4.150000000000000000e+02 4.879302723979682677e-01 4.837531189785053143e-01 0.000000000000000000e+00 2.831660862352763236e-02
4.175000000000000000e+02 4.861410277866209384e-01 4.846579340688640380e-01 0.000000000000000000e+00 2.920103814451664379e-02
4.200000000000000000e+02 4.837661919248074094e-01 4.934121803853964150e-01 0.000000000000000000e+00 2.282162768979853831e-02
4.225000000000000000e+02 4.818556690947653487e-01 5.037330022560400078e-01 0.000000000000000000e+00 1.441132864919757173e-02
4.250000000000000000e+02 4.816318101206301661e-01 5.086569209902991329e-01 0.000000000000000000e+00 9.711268889074956348e-03
4.275000000000000000e+02 4.837120600714850394e-01 5.064343513915973150e-01 0.000000000000000000e+00 9.853588536923404972e-03
4.300000000000000000e+02 4.875450719994691151e-01 5.011735512684539762e-01 0.000000000000000000e+00 1.128137673208388925e-02
4.325000000000000000e+02 4.915119041477193362e-01 4.982806467528362870e-01 0.000000000000000000e+00 1.020744909945195400e-02
4.350000000000000000e+02 4.936368605075467930e-01 4.998039432906836721e-01 0.000000000000000000e+00 6.559196201778200695e-03
4.375000000000000000e+02 4.924558528479806019e-01 5.041734133315358690e-01 0.000000000000000000e+00 3.370733820492132892e-03
4.400000000000000000e+02 4.876437460931792311e-01 5.095518079171053039e-01 0.000000000000000000e+00 2.804445989724763111e-03
4.425000000000000000e+02 4.801475404994158813e-01 5.160598134933562786e-01 0.000000000000000000e+00 3.792646007237265252e-03
4.450000000000000000e+02 4.716743711313999277e-01 5.242391963259807053e-01 0.000000000000000000e+00 4.086432542628602727e-03
4.475000000000000000e+02 4.637538789921526461e-01 5.323657510643359236e-01 0.000000000000000000e+00 3.880369943520560992e-03
4.500000000000000000e+02 4.570223099807506628e-01 5.367773956540765612e-01 0.000000000000000000e+00 6.200294365183718626e-03
4.525000000000000000e+02 4.511668867879955469e-01 5.356638905068364931e-01 0.000000000000000000e+00 1.316922270517834927e-02
4.550000000000000000e+02 4.453350548679648746e-01 5.322812619340858697e-01 0.000000000000000000e+00 2.238368319796011849e-02
4.575000000000000000e+02 4.387123668613011618e-01 5.332853697539995386e-01 0.000000000000000000e+00 2.800226338471054066e-02
4.600000000000000000e+02 4.311491079310997288e-01 5.428040461180448917e-01 0.000000000000000000e+00 2.604684595086658588e-02
4.625000000000000000e+02 4.234288457423998064e-01 5.581524236106134573e-01 0.000000000000000000e+00 1.841873064699714110e-02
4.650000000000000000e+02 4.167948566255549325e-01 5.720550263502864885e-01 0.000000000000000000e+00 1.115011702417022417e-02
4.675000000000000000e+02 4.121354903641753498e-01 5.792120740060615613e-01 0.000000000000000000e+00 8.652435629775379403e-03
4.700000000000000000e+02 4.095082885826613062e-01 5.804696368359694159e-01 0.000000000000000000e+00 1.002207458138258157e-02
4.725000000000000000e+02 4.080801706725516453e-01 5.809805927142092097e-01 0.000000000000000000e+00 1.093923661325224041e-02
4.750000000000000000e+02 4.062872637689762256e-01 5.850677152446703833e-01 0.000000000000000000e+00 8.645020986367171756e-03
4.775000000000000000e+02 4.023429539891945073e-01 5.930807930673716033e-01 0.000000000000000000e+00 4.576252943446736804e-03
4.800000000000000000e+02 3.951418330469024798e-01 6.027439922571516950e-01 0.000000000000000000e+00 2.114174695958348157e-03
4.825000000000000000e+02 3.849422954277377795e-01 6.126174231130007142e-01 0.000000000000000000e+00 2.440281459275127785e-03
