# time_fs  P_exc  P_photon
7.450000000000000000e+02 2.710288881107003611e-01 7.289711118893218433e-01
7.475000000000000000e+02 1.049555483611708112e-01 8.950444516388523786e-01
7.500000000000000000e+02 1.550895987551094701e-01 8.449104012449140111e-01
7.525000000000000000e+02 4.002195797778874686e-01 5.997804202221365122e-01
7.550000000000000000e+02 7.084163280112250050e-01 2.915836719887984763e-01
7.575000000000000000e+02 9.089889311594914201e-01 9.101106884053179746e-02
7.600000000000000000e+02 8.885131787666424863e-01 1.114868212333806341e-01
7.625000000000000000e+02 6.553541043588086978e-01 3.446458956412147279e-01
7.650000000000000000e+02 3.356802389508339868e-01 6.643197610491899940e-01
7.675000000000000000e+02 1.040174557560584190e-01 8.959825442439675047e-01
7.700000000000000000e+02 8.795845224176535027e-02 9.120415477582600738e-01
7.725000000000000000e+02 2.991273545127518529e-01 7.008726454872752365e-01
7.750000000000000000e+02 6.264098200428487306e-01 3.735901799571773596e-01
7.775000000000000000e+02 8.941660959377345508e-01 1.058339040622934962e-01
7.800000000000000000e+02 9.553335721366118527e-01 4.466642786341597227e-02
7.825000000000000000e+02 7.715505150090976594e-01 2.284494849909314007e-01
7.850000000000000000e+02 4.373949773812453312e-01 5.626050226187830905e-01
7.875000000000000000e+02 1.328930287097298546e-01 8.671069712902976789e-01
7.900000000000000000e+02 2.654864205782465555e-02 9.734513579422053864e-01
7.925000000000000000e+02 1.807521819969101773e-01 8.192478180031199653e-01
7.950000000000000000e+02 5.138644687755858920e-01 4.861355312244449722e-01
7.975000000000000000e+02 8.433132753547442073e-01 1.566867246452884055e-01
8.000000000000000000e+02 9.870269009947338912e-01 1.297309900529913101e-02
8.025000000000000000e+02 8.653708902034090711e-01 1.346291097966229033e-01
8.050000000000000000e+02 5.452134934838296365e-01 4.547865065162023379e-01
8.075000000000000000e+02 2.019760708601036625e-01 7.980239291399267021e-01
8.100000000000000000e+02 2.263644655536065434e-02 9.773635534446700746e-01
8.125000000000000000e+02 1.043798730200059532e-01 8.956201269800252440e-01
8.150000000000000000e+02 4.033367276316842109e-01 5.966632723683469308e-01
8.175000000000000000e+02 7.589065896248267107e-01 2.410934103752034041e-01
8.200000000000000000e+02 9.794194396539236402e-01 2.058056034610656823e-02
8.225000000000000000e+02 9.443439677645403263e-01 5.565603223548915707e-02
8.250000000000000000e+02 6.699649791393401665e-01 3.300350208606890878e-01
8.275000000000000000e+02 3.029481558841210509e-01 6.970518441159079259e-01
8.300000000000000000e+02 4.276236312339228018e-02 9.572376368766364330e-01
8.325000000000000000e+02 3.273817887470398258e-02 9.672618211253254383e-01
8.350000000000000000e+02 2.794948369710570368e-01 7.205051630289710518e-01
8.375000000000000000e+02 6.475635199239788697e-01 3.524364800760518279e-01
8.400000000000000000e+02 9.342737991819102250e-01 6.572620081812095838e-02
8.425000000000000000e+02 9.829112863902491615e-01 1.708871360978184498e-02
8.450000000000000000e+02 7.693277014327746244e-01 2.306722985672568782e-01
8.475000000000000000e+02 4.132642712074165448e-01 5.867357287926154852e-01
8.500000000000000000e+02 1.100102717430855581e-01 8.899897282569471102e-01
8.525000000000000000e+02 2.285225534114840307e-02 9.771477446588839877e-01
8.550000000000000000e+02 1.961294650467209355e-01 8.038705349533135092e-01
8.575000000000000000e+02 5.341660707665008001e-01 4.658339292335351711e-01
8.600000000000000000e+02 8.544157837728397764e-01 1.455842162271956397e-01
8.625000000000000000e+02 9.851097153452401667e-01 1.489028465479642557e-02
8.650000000000000000e+02 8.564614459742336816e-01 1.435385540258030113e-01
8.675000000000000000e+02 5.381746421192132868e-01 4.618253578808231841e-01
8.700000000000000000e+02 2.027387297254339971e-01 7.972612702746031399e-01
8.725000000000000000e+02 3.240039834473018576e-02 9.675996016553063406e-01
8.750000000000000000e+02 1.191453917413649310e-01 8.808546082586704573e-01
8.775000000000000000e+02 4.133886489375687145e-01 5.866113510624667571e-01
8.800000000000000000e+02 7.516425795952156319e-01 2.483574204048211997e-01
8.825000000000000000e+02 9.483523948985378427e-01 5.164760510149855183e-02
8.850000000000000000e+02 8.992099111390313704e-01 1.007900888610060441e-01
8.875000000000000000e+02 6.368568837225305757e-01 3.631431162775071719e-01
8.900000000000000000e+02 3.089409732207822890e-01 6.910590267792531272e-01
8.925000000000000000e+02 9.397396028334217832e-02 9.060260397166943758e-01
8.950000000000000000e+02 1.042226541659858619e-01 8.957773458340512196e-01
8.975000000000000000e+02 3.284748006747499893e-01 6.715251993252870921e-01
9.000000000000000000e+02 6.423539960294906148e-01 3.576460039705479099e-01
9.025000000000000000e+02 8.770909106986507497e-01 1.229090893013881497e-01
9.050000000000000000e+02 9.091434328852237012e-01 9.085656711481626679e-02
9.075000000000000000e+02 7.245708309952537673e-01 2.754291690047863117e-01
9.100000000000000000e+02 4.253954389913436329e-01 5.746045610086978339e-01
9.125000000000000000e+02 1.742904862652060738e-01 8.257095137348362535e-01
9.150000000000000000e+02 1.061589577670528500e-01 8.938410422329882143e-01
9.175000000000000000e+02 2.543417346177608285e-01 7.456582653822810824e-01
9.200000000000000000e+02 5.330880386759033751e-01 4.669119613241373701e-01
9.225000000000000000e+02 7.869864793283628535e-01 2.130135206716765039e-01
9.250000000000000000e+02 8.789326278583822205e-01 1.210673721416574838e-01
9.275000000000000000e+02 7.654112685289298224e-01 2.345887314711087301e-01
9.300000000000000000e+02 5.164839897726019036e-01 4.835160102274381200e-01
9.325000000000000000e+02 2.719261980785927513e-01 7.280738019214477719e-01
9.350000000000000000e+02 1.619883777948177839e-01 8.380116222052227393e-01
9.375000000000000000e+02 2.386450749465707788e-01 7.613549250534703550e-01
9.400000000000000000e+02 4.530103969702021227e-01 5.469896030298383449e-01
9.425000000000000000e+02 6.865692398692813114e-01 3.134307601307592117e-01
9.450000000000000000e+02 8.160003461940094072e-01 1.839996538060306996e-01
9.475000000000000000e+02 7.771020379463160488e-01 2.228979620537244744e-01
9.500000000000000000e+02 5.961948487766410842e-01 4.038051512233993279e-01
9.525000000000000000e+02 3.740095931059733703e-01 6.259904068940667088e-01
9.550000000000000000e+02 2.305543538640900669e-01 7.694456461359497901e-01
9.575000000000000000e+02 2.399071673163088447e-01 7.600928326837294025e-01
9.600000000000000000e+02 3.906006903533281172e-01 6.093993096467109627e-01
9.625000000000000000e+02 5.943144935716178079e-01 4.056855064284212720e-01
