# time_fs  Nvib_ground  Evib_ground_eV  Nvib_excited  Evib_excited_eV
1.375000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.825184472603382901e-01 7.612117100480732257e-02
1.377500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.901487443023443635e-01 7.763960011616653778e-02
1.380000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.848097367617329123e-01 7.657713761558485044e-02
1.382500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.760936625895960894e-01 7.484263885532962957e-02
1.385000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.732745468081614115e-01 7.428163481482412400e-02
1.387500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.798912265783578324e-01 7.559835408909321153e-02
1.390000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.942395496404388355e-01 7.845367037844733216e-02
1.392500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.126278238466631887e-01 8.211293694548599253e-02
1.395000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.308089358468494279e-01 8.573097823352304747e-02
1.397500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.436333579393699211e-01 8.828303822993462113e-02
1.400000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.464224602070994141e-01 8.883806958121279185e-02
1.402500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.388876303291777692e-01 8.733863843550639106e-02
1.405000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.277087610864359624e-01 8.511404345620075806e-02
1.407500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.237997315775425822e-01 8.433614658393098762e-02
1.410000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.350312030596871771e-01 8.657120940887776117e-02
1.412500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.597191290431842381e-01 9.148410667959368248e-02
1.415000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.865629324042148873e-01 9.682602354843877768e-02
1.417500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.021872945828578239e-01 9.993527162198871661e-02
1.420000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.007725807161410581e-01 9.965374356251208154e-02
1.422500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.876414002652835755e-01 9.704063865279143053e-02
1.425000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.740378999014998596e-01 9.433354208039848587e-02
