# time_fs P_g_n0 P_g_n1 P_g_n2 P_g_n3 P_g_n4 P_e_n0 P_e_n1 P_e_n2 P_e_n3 P_e_n4
1.875000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.777910467647404014e-01 1.220624659051846583e-01 1.457452854356171669e-04 7.396100159242936727e-07 2.434621419363005718e-09
1.900000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.805165475905640804e-01 1.193699330484765675e-01 1.129083363582567825e-04 6.091526509332713862e-07 1.871949395119427330e-09
1.925000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.803026664338131635e-01 1.196023137842254225e-01 9.451163331840808251e-05 5.060840687035975815e-07 2.064573490731609480e-09
1.950000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.775271359916396730e-01 1.223890535465497476e-01 8.344502139749643017e-05 3.642042932908768853e-07 1.236118961672900190e-09
1.975000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.735685904140890745e-01 1.263487676707128193e-01 8.239799525712635062e-05 2.435018573178617028e-07 4.180823905988695244e-10
2.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.699428515983707033e-01 1.299574751194257083e-01 9.932193579266200838e-05 3.504192059335034821e-07 9.272034694178758968e-10
2.025000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.679893400067308917e-01 1.318836578236098622e-01 1.264178439456874019e-04 5.821140989035566258e-07 2.211612581037831557e-09
2.050000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.686685344929711006e-01 1.311910472338863598e-01 1.397144567757737104e-04 7.014581060448620886e-07 2.358259376735098074e-09
2.075000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.720244489882262862e-01 1.278401150051838298e-01 1.347439024503647022e-04 6.900467452650445630e-07 2.057392669329017732e-09
2.100000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.766383337538028453e-01 1.232247950184461177e-01 1.362786188529025290e-04 5.905962988834841886e-07 2.012596980536504018e-09
